140909,113601,30584,26397
140826,113575,30595,26364
140606,113586,30591,26372
140852,113596,30592,26364
140900,113631,30555,26379
140873,113566,30588,26368
140886,113603,30587,26432
140933,113651,30612,26348
140954,113626,30598,26367
140948,113621,30602,26357
140945,113607,30598,26417
140931,113602,30605,26338
140992,113701,30601,26375
140990,113652,30604,26371
141122,113653,30559,26370
140995,113631,30548,26353
141053,113669,30586,26359
141043,113690,30603,26373
141097,113650,30598,26372
141062,113611,30643,26374
141034,113665,30545,26320
141091,113716,30612,26366
141114,113679,30595,26443
141044,113659,30608,26361
141114,113679,30622,26378
141099,113641,30602,26403
141130,113682,30594,26352
141146,113735,30583,26380
141189,113678,30761,26388
141187,113706,30621,26365
141201,113710,30607,26348
141205,113666,30604,26373
141189,113706,30595,26424
140826,113575,30566,26370
141228,113757,30600,26378
141230,113718,30587,26371
141242,113714,30590,26355
141210,113721,30603,26360
141243,113613,30741,26401
141266,113733,30560,26368
141295,113749,30600,26368
141342,113807,30620,26333
141350,113732,30619,26446
141323,113767,30621,26371
141335,113769,30585,26369
141347,113730,30608,26377
141348,113755,30614,26346
141178,113806,30638,26361
141412,113708,30613,26372
141361,113753,30623,26420
141399,113771,30651,26377
141415,113743,30628,26327
141429,113817,30615,26374
141378,113779,30622,26381
141414,113759,30596,26412
141493,113802,30618,26382
141466,113820,30685,26403
141461,113803,30635,26374
141484,113664,30598,26381
141431,113805,30622,26347
141189,113678,30627,26326
141519,113868,30628,26376
141544,113748,30627,26411
141495,113812,30624,26373
141548,113845,30627,26424
141572,113855,30623,26276
141545,113851,30609,26389
141502,113845,30646,26389
141560,113849,30640,26407
141588,113863,30642,26390
141593,113862,30631,26395
141596,113852,30638,26383
141620,113867,30627,26381
141620,113873,30623,26379
141626,113862,30649,26383
141647,113871,30632,26372
141651,113881,30629,26392
141661,113886,30640,26393
141662,113887,30641,26382
141672,113889,30640,26393
141682,113896,30640,26391
141676,113900,30631,26380
141694,113908,30632,26376
141720,113899,30632,26382
141718,113901,30635,26381
141721,113899,30645,26380
141730,113909,30635,26388
141729,113899,30629,26378
141731,113906,30630,26376
141729,113915,30630,26371
141738,113898,30622,26379
141749,113898,30626,26380
141734,113900,30623,26380
141761,113900,30622,26381
141740,113888,30623,26376
141701,113878,30627,26379
141699,113876,30619,26335
141693,113905,30609,26363
141664,113850,30556,26378
141613,113800,30646,26389
141503,113782,30613,26367
